Name,Age,Salary,State,Marital_Status
John Doe,28,75000,Lagos,Single
Mary Johnson,34,120000,Abuja,Married
Peter Okafor,45,250000,Rivers,Married
Aisha Bello,29,98000,Kano,Single
David Smith,38,,Lagos,Married
Chioma Nwosu,31,135000,Enugu,
Samuel James,,85000,Oyo,Single
Grace Adams,27,72000,Lagos,Single
Michael Brown,52,320000,Abuja,Married
Fatima Yusuf,41,210000,Kaduna,Married
Emeka Obi,36,145000,,Married
Sarah Wilson,24,65000,Lagos,Single
Ibrahim Musa,33,,Kano,Married
Joy Eze,,92000,Enugu,Single
Daniel Adeyemi,47,275000,Ogun,Married
Blessing Okoro,30,110000,Rivers,
Henry Clark,39,180000,Lagos,Married
Ruth Daniel,26,70000,Abuja,Single
Ahmed Hassan,44,230000,Kaduna,Married
Victoria King,32,125000,,Single
